frame,x,y,z
0,0.000000,0.000000,0.000000
1,-0.016234,-0.043347,-0.018907
2,0.026757,-0.024086,-0.002151
3,0.008509,-0.061032,-0.030471
4,0.040963,-0.099047,-0.031712
5,0.062733,-0.131721,-0.062672
6,0.044322,-0.177322,-0.071703
7,0.054929,-0.213808,-0.104204
8,0.060241,-0.258117,-0.126753
9,0.085048,-0.276504,-0.166079
10,0.082981,-0.249082,-0.124320
11,0.087680,-0.278940,-0.164150
12,0.086798,-0.315209,-0.198557
13,0.077559,-0.354672,-0.227836
14,0.097780,-0.386459,-0.260710
15,0.100182,-0.356880,-0.220470
16,0.102602,-0.393204,-0.254744
17,0.112405,-0.376675,-0.300903
18,0.150979,-0.353820,-0.278775
19,0.179304,-0.325070,-0.249259
20,0.185983,-0.354611,-0.289043
21,0.171643,-0.400189,-0.303773
22,0.146931,-0.428287,-0.336937
23,0.127543,-0.462852,-0.367423
24,0.119627,-0.426709,-0.333792
25,0.119145,-0.400373,-0.291292
26,0.099304,-0.444336,-0.304471
27,0.087782,-0.474855,-0.342363
28,0.093344,-0.444046,-0.303377
29,0.077315,-0.418054,-0.263785
30,0.067296,-0.383352,-0.229211
31,0.063681,-0.414710,-0.267988
32,0.069030,-0.430290,-0.315197
33,0.069172,-0.450721,-0.360832
34,0.048868,-0.477982,-0.397501
35,0.050130,-0.511010,-0.435018
36,0.043854,-0.551299,-0.463957
37,0.035245,-0.587676,-0.497161
38,0.041155,-0.622320,-0.532726
39,0.043561,-0.588658,-0.569618
40,0.037068,-0.623995,-0.604390
41,0.039850,-0.653300,-0.644807
42,0.077796,-0.671420,-0.671858
43,0.075930,-0.702714,-0.710809
44,0.098928,-0.717691,-0.669014
45,0.108182,-0.694105,-0.625909
46,0.103717,-0.657229,-0.592439
47,0.099054,-0.694739,-0.625170
48,0.078043,-0.662186,-0.593565
49,0.060288,-0.702293,-0.617569
50,0.039510,-0.736336,-0.587413
51,0.042217,-0.700682,-0.552464
52,0.020898,-0.670527,-0.586171
53,0.023826,-0.686770,-0.633368
54,0.016558,-0.686761,-0.682837
55,0.052502,-0.708470,-0.709979
56,0.053698,-0.749564,-0.738437
57,0.043697,-0.772082,-0.781945
58,0.030420,-0.794376,-0.824684
59,0.042859,-0.771769,-0.781857
60,0.053898,-0.815250,-0.803937
61,0.048052,-0.858928,-0.827560
62,0.050319,-0.903716,-0.849672
63,0.046374,-0.942669,-0.880769
64,0.029592,-0.976869,-0.913153
65,0.026680,-1.012871,-0.947728
66,0.018182,-1.051121,-0.978788
67,0.003404,-1.092650,-1.002387
68,0.001887,-1.131660,-1.033626
69,-0.010409,-1.173087,-1.058780
70,-0.015618,-1.207970,-1.094220
71,-0.031774,-1.212594,-1.141311
72,-0.042353,-1.254636,-1.166222
73,-0.063991,-1.295559,-1.185118
74,-0.094071,-1.332691,-1.199832
75,-0.101407,-1.367706,-1.234761
76,-0.105059,-1.366264,-1.284607
77,-0.105825,-1.390199,-1.328499
78,-0.120589,-1.428769,-1.356684
79,-0.124448,-1.467061,-1.388604
